AMZN
NCR
TTWO
AMG
VLO
ADSK
CVG
CTSH
YUM
FII
ZION
RSG
APH
MWW
CHRW
BBY
CCI
URI
EOP
BRCM
MAR
AMB
RFMD
AMT
SSP
SLG
SEE
XL
DGX
BXP
RL
PLD
ACAS
EBAY
LLL
CIEN
ARE
QRVO
PWR
MTD
VRSN
LVLT
KG
ROK
SRE
MNST
